id,Question,Needs Translation,Focus area,Type,Status,Discussion,Upvotes,In Part 1
fencedframe,<fencedframe>,false,"Embedding,Security & Privacy",HTML element,Cutting Edge,https://github.com/Devographics/surveys/discussions/127,11,Maybe
adaptive_streaming,Adaptive streaming,true,Multimedia,HTTP,Future,https://github.com/Devographics/surveys/discussions/147,11,No
integrity,Subresource Integrity (integrity attribute),true,Security & Privacy,HTML attribute,Stable,https://github.com/Devographics/surveys/discussions/145,11,In checkbox question
referrerpolicy,referrerpolicy attribute,true,Security & Privacy,HTML attribute,Stable,https://github.com/Devographics/surveys/discussions/146,11,Likely No
credentialless,"Credentialless iframes

<iframe credentialless>",true,"Security & Privacy,Embedding",HTML attribute,Cutting Edge,https://github.com/Devographics/surveys/discussions/143,9,In checkbox question
isolated_webapps,Isolated Web Apps,true,"Bridging the gap with native,Security & Privacy",Other,Future,https://github.com/Devographics/surveys/discussions/170,9,Likely Yes
menu_element,"<menu> ",false,Semantic HTML,HTML element,Stable,https://github.com/Devographics/surveys/discussions/200,2,In checkbox question
borderless_mode,Borderless mode,true,Bridging the gap with native,Other,Cutting Edge,https://github.com/Devographics/surveys/discussions/203,2,Yes
custom_elements_defining,Defining Custom Elements,true,Making Web Components,HTML element,Stable,https://github.com/Devographics/surveys/discussions/184,2,Yes
badging_api,Badging API,true,Bridging the gap with native,JS API,Cutting Edge,https://github.com/Devographics/surveys/discussions/195,1,Yes
web_share_api,Web Share API,true,Bridging the gap with native,JS API,Cutting Edge,https://github.com/Devographics/surveys/discussions/196,1,Yes
window_controls_overlay,"Window Controls Overlay API ",true,Bridging the gap with native,"JS API,CSS,Other",Cutting Edge,https://github.com/Devographics/surveys/discussions/197,1,Maybe
text_fragments,URLs to Text Fragments,true,Other,"JS API,Other,CSS",Controversial,https://github.com/Devographics/surveys/discussions/199,1,Maybe
scoped_element_registries,Scoped Custom Element Registries,true,Making Web Components,JS API,Future,https://github.com/Devographics/surveys/discussions/187,1,Likely Yes
sanitizer_api,Sanitizer API,true,Security & Privacy,JS API,Future,https://github.com/Devographics/surveys/discussions/192,1,No
iframe_seamless,"<iframe seamless> ",false,Embedding,HTML attribute,Removed,https://github.com/Devographics/surveys/discussions/202,1,No
formdata,FormData,true,Forms & Editing,JS API,Stable,,,Maybe
